"trial_tag","rt","response","trial_type","trial_index","plugin_version","time_elapsed","screen_failed","block","vignette_id","domain","offloading","consequences","version","measure","question_order","stimulus","slider_start"
"","854","50","html-slider-response","33","2.1.0","45488","","","15","Arbeits- und Betriebssicherheit","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Lagerarbeiter Marius S. bereitet einen Sattelanhänger für die Entladung vor. Um die Ladebrücke abzusenken, entfernt er zwei Sicherungsstifte, die normalerweise die Rampe stabilisieren. Kurz darauf wird er von einem Kollegen um Hilfe gebeten. Er nimmt sich fest vor, beim Zurückkehren die Stifte sofort wieder einzusetzen, bevor jemand die Rampe befährt.Marius nimmt sich fest vor, beim Zurückkehren die Stifte sofort wieder einzusetzen, bevor jemand die Rampe befährt, und verlässt sich darauf, diesen Vorsatz sicher im Kopf zu behalten.Nach der Unterbrechung kehrt Marius zurück, während die Fahrerin bereits mit dem Hubwagen an den Anhänger heranfährt.In der Routine des Ablaufs gibt er die Entladung frei, ohne in diesem Moment an den fehlenden Stiftsatz zu denken.Die Fahrerin fährt mit dem Hubwagen auf die Rampe, die aufgrund der fehlenden Stifte deutlich nachgibt und seitlich wegkippt. Sie verliert das Gleichgewicht, stürzt vom Hubwagen und schlägt auf der Asphaltfläche auf. Sie erleidet eine schmerzhafte Verstauchung des Sprunggelenks sowie eine Fraktur des Handgelenks, die medizinisch versorgt werden muss.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1280","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","34","2.1.0","46771","","","14","Arbeits- und Betriebssicherheit","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","968","50","html-slider-response","35","2.1.0","47742","","","14","Arbeits- und Betriebssicherheit","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Louis W. ist Auszubildender im 1. Lehrjahr zum Koch und arbeitet in einer Großküche einer Gemeinschaftsverpflegung. Die Küchenmeisterin weist ihn an seinem ersten Arbeitstag an: Sobald die Pfannenwanne am Spülbecken abgekühlt ist, muss Louis das Bratfett in den vorgeschriebenen Fettsammelbehälter umfüllen. Das Fett darf nicht ins Spülbecken, da dies den Fettabscheider umgeht, gegen Umweltauflagen verstößt und zu Betriebsstörungen führen kann.Louis platziert zur Sicherheit den Sammelbehälter direkt unter die Pfannenwanne und legt zusätzlich den vorgeschriebenen Kunststofftrichter oben auf die Wanne, sodass er ihn entfernen müsste, bevor er überhaupt etwas ausschüttet.Als er später zur Pfanne zurückkehrt, beantwortet er gleichzeitig eine Arbeitsfrage eines Kollegen.Er legt gedankenversunken den Trichter beiseite, denkt an den nächsten Arbeitsschritt und gießt das Restfett ins Spülbecken, spült die Pfanne und stellt sie weg.Am nächsten Morgen meldet die Haustechnik eine massive Fettverstopfung, die zu einem kurzfristigen Ausstieg mehrerer Spülbereiche führt. Ein Fachbetrieb muss hinzugezogen werden, und der Vorfall wird nach Umwelt- und Küchenbetriebsauflagen formal erfasst.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1323","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","36","2.1.0","49066","","","22","Verkehr & öffentliche Mobilität","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","843","50","html-slider-response","37","2.1.0","49912","","","22","Verkehr & öffentliche Mobilität","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Serdar F. ist ehrenamtlicher Feuerwehrmann und war am Nachmittag im Bereitschaftsdienst auf der Wache. Dafür trägt er einen digitalen Meldeempfänger, der bei Alarm einen sehr lauten, schrillen Signalton auslöst. Nach Dienstende muss das Gerät manuell in den Ruhemodus versetzt werden.Um dies nicht zu vergessen, arbeitet Serdar üblicherweise eine kurze Checkliste auf seinem Smartphone ab, die alle Schritte nach Dienstende enthält, darunter auch das Deaktivieren des Meldeempfängers.Kurz vor Dienstende erhält Serdar jedoch einen Anruf von seiner hochschwangeren Frau, die ihm mitteilt, dass die Wehen eingesetzt haben. Serdar ist stark aufgeregt, verlässt die Wache hastig und denkt in diesem Momentweder an die Checkliste nochan den Meldeempfänger. Während der Fahrt durch den innerstädtischen Verkehr löst der Meldeempfänger plötzlich eine lauten Alarm aus. Serdar erschrickt stark, greift nach dem Gerät und übersieht dabei eine rote Ampel.Er bremst noch stark ab, kann jedoch eine Kollision nicht vollständig vermeiden und streift eine Fußgängerin, die gerade die Straße überquert. Die Frau verliert das Gleichgewicht, stürzt auf den Rücken und zieht sich eine schmerzhafte Rückenprellung sowie Abschürfungen an den Händen zu. Sie wird vor Ort medizinisch untersucht und ambulant versorgt.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1636","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","38","2.1.0","51550","","","20","Verkehr & öffentliche Mobilität","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","938","50","html-slider-response","39","2.1.0","52492","","","20","Verkehr & öffentliche Mobilität","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Nikoletta K. nutzt auf dem Weg zur Universität einen E-Scooter. Beim Absteigen bemerkt sie, dass der rechte Bremshebel ungewöhnlich locker ist und nachgibt.Um vor der nächsten Fahrt daran erinnert zu werden, die Fixierschraube nachzuziehen, legt sie ihr Multitool gut sichtbar neben ihren E-Scooter-Schlüssel auf das Regal im Flur. Während Nikoletta sich umzieht, räumt ihr Freund die Wohnung auf. Er sieht das Multitool an der ungewöhnlichen Stelle und legt es ordnungsgemäß in die Werkzeugschublade – ohne zu wissen, dass es als Erinnerung dienen sollte.Als Nikoletta später den Scooter erneut nutzt, ist sie durch eine eingehende Nachricht gedanklich abgelenkt und erinnert sich in diesem Moment nicht mehr an ihren Vorsatz. Sie fährt los, ohne den Bremshebel zu kontrollieren.Beim Heranfahren an einen Fußgängerüberweg bremst sie, doch der lockere Bremshebel reagiert verzögert.Nikoletta stößt mit einer älteren Frau zusammen, die gerade den Überweg überquert. Die Frau fällt zu Boden und erleidet einen Oberschenkelhalsbruch, der im Krankenhaus behandelt werden muss.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1549","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","40","2.1.0","54042","","","3","Gesundheitsversorgung/Pflege","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","816","50","html-slider-response","41","2.1.0","54861","","","3","Gesundheitsversorgung/Pflege","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Pflegefachkraft Anna U. arbeitet im Frühdienst auf einer internistischen Station. Bei der morgendlichen Übergabe wird erwähnt, dass Herr B., 78 Jahre alt, noch unsicher auf den Beinen ist und beim nächsten Toilettengang unbedingt begleitet werden sollUm sicherzugehen, dass sie das nicht vergisst, befestigt Anna eine kleine Erinnerungskarte am Zimmerplan mit dem Hinweis „Begleitung beim WC“ und schreibt zusätzlich eine Notiz in ihre elektronische Aufgabenliste.Im weiteren Verlauf des Vormittags wird sie mehrfach unterbrochen – Blutdruckkontrollen, Medikamentenausgabe, Fragen von Angehörigen. Während sie an einem anderen Bett beschäftigt ist, hört sie die Toilettenspülung aus Herrn B. Zimmer. Erst als sie ihn rufen hört, fällt ihr ein, dass sie ihn eigentlich hätte begleiten sollen. Herr B. ist im Bad gestürztund klagt über starke Schmerzen im Bein. Nach der Untersuchung wird ein Schenkelhalsbruch festgestellt.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1144","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","42","2.1.0","56006","","","19","Verkehr & öffentliche Mobilität","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","953","50","html-slider-response","43","2.1.0","56963","","","19","Verkehr & öffentliche Mobilität","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Elif D. bemerkt eines Abends beim Fahren, dass ihr Auto auf unebenen Straßen ein ungewöhnliches Geräusch macht – ein dumpfes Knacken in der Vorderachse. Da die Werkstätten bereits geschlossen sind und sie das Auto in den nächsten Tagen nur wenig benötigt, nimmt sie sich vor, es zwei Tage später, wenn sie frei hat, in die Werkstatt zu bringen.nimmt sie sich vor, es zwei Tage später, wenn sie frei hat, in die Werkstatt zu bringen.An ihrem freien Tag bekommt sie überraschend Besuch von einer alten Schulfreundin. Die beiden verbringen den gesamten Tag miteinander, und Elif denkt kein einziges Mal an ihren Vorsatz. Am nächsten Morgen muss sie zu einem wichtigen Geschäftstermin. In der Eile steigt sie ins Auto, ohne an das Knacken zu denken. Die Fahrt verläuft zunächst auf ebener Strecke unauffällig. Doch als sie ein Schlagloch überfährt, bricht eine Feder der Vorderachse vollständig.Doch als sie in ein Schlagloch gerät, bricht eine Feder der Vorderachse, und das Fahrzeug zieht abrupt nach rechts. Elif verliert die Kontrolle und prallt seitlich gegen einen Fahrradfahrer. Er stürzt heftig zu Boden und erleidet mehrere Knochenbrüche, die stationär behandelt werden müssen.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1056","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","44","2.1.0","58021","","","27","Umweltschutz","yes","low","yes_low","likert_5","[0,1,2,3,4]","",""
"","939","50","html-slider-response","45","2.1.0","58963","","","27","Umweltschutz","yes","low","yes_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Lisa Z. arbeitet an einem Samstag in ihrer heimischen Garage an ihrem Auto. Beim Ölwechsel achtet sie sorgfältig darauf, das Altöl in die Altölkanne ablaufen zu lassen.Bereits bevor sie mit dem Ölwechsel beginnt, legt sie die Kanne gut sichtbar auf den Boden, direkt neben die Garagenwand. So möchte sie sich daran erinnern, das Öl später zur Entsorgungsstelle zu bringen.Während sie das Auto wieder zusammenbaut, klingelt das Telefon. Lisa telefoniert längere Zeit, ist vertieft im Gespräch und denkt nicht weiter an das Altöl. Als sie später die Garage verlässt, vergisst sie, die Kanne zu entsorgen und zu verschließen.Über Nacht tropfen geringe Mengen Altöl aus der Kanne und gelangen in den Randbereich der Garagenauffahrt. Am nächsten Morgen bemerkt ein Nachbar einen deutlichen Ölfilm, der langsam in die Regenrinne abläuft, und verständigt die örtliche Umweltstelle. Der betroffene Bodenabschnitt muss mit Ölbindemittel behandelt und ein kleines Stück Erdreich ausgetauscht werden.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1073","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","46","2.1.0","60038","","","13","Arbeits- und Betriebssicherheit","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","1129","50","html-slider-response","47","2.1.0","61170","","","13","Arbeits- und Betriebssicherheit","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Laura E. ist Laborassistentin in einem chemischen Forschungslabor. Auf einem zentralen Arbeitstisch führt sie eine laufende Analyse mit einer leicht reizenden Lösung durch, die während des Messvorgangs offenstehen muss. Die Laborleitung hat Laura darauf hingewiesen, dass die Auszubildende Mira I. jederzeit den Raum betreten kann, um Proben abzulegen. Da Mira nicht mit den spezifischen Gefahrstoffen vertraut ist, soll Laura, sobald Mira das Labor betritt, die Abzugshaube schließen und eine Schutzhaube auflegen.Laura nimmt sich vor, daran zu denken, sobald Mira den Raum betritt.Im Verlauf des Vormittags arbeitet Laura an einem Analyserechner seitlich zum Arbeitstisch, als Mira den Raum betritt. Laura denkt in diesem Moment nicht an die offenstehende Analyse oder die erforderliche Schutzmaßnahme. Als sie sich kurz darauf umdreht, steht Mira bereits in der Nähe der Probenablageundhält etwas Abstand zum Arbeitstisch. Mira schaut kurz zur offenen Analyse und fragt: „Sollte das gerade abgedeckt sein? Ich war mir nicht sicher.“ Laura schließt sofort die Abzugshaube, legt die Abdeckung korrekt auf und weist Mira in den sicheren Bereich ein. Mira berichtet anschließend, dass sie nur einen leichten Geruch bemerkt habe, sich aber gut fühle. Da Laura gegen die Sicherheitsvorkehrungen verstoßen hat, muss sie den Vorfall intern melden.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","942","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","48","2.1.0","62113","","","8","Betreuungs-/Aufsichtspflicht","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","814","50","html-slider-response","49","2.1.0","62931","","","8","Betreuungs-/Aufsichtspflicht","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Tom Z. soll an diesem Morgen seine Tochter Lina zur Kita bringen.Da er das selten übernimmt, nimmt er sich vor, den ungewohnten Umweg nicht zu vergessen.Tom fährt die übliche Strecke Richtung Arbeit. An einer roten Ampel nimmt er einen wichtigen Anruf seines Teams entgegen. Kurz darauf passiert er gedanklich abgelenkt den Kita-Abzweig, ohne es zu merken.Auch Lina schläft tief und macht keinen Laut. Tom fährt weiter zur Arbeit und vergisst dabei, dass seine Tochter im Auto sitzt.Ein Passant bemerkt nach einiger Zeit das Kleinkind auf dem Rücksitz, das inzwischen bewusstlos im heißen Auto liegt. Die Polizei trifft schnell ein und befreit Lina gerade noch rechtzeitig.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","3177","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","50","2.1.0","66112","","","30","Umweltschutz","no","low","no_low","likert_5","[0,1,2,3,4]","",""
"","755","50","html-slider-response","51","2.1.0","66871","","","30","Umweltschutz","no","low","no_low","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Anna S. arbeitet an einem Montagvormittag im Produktionsbereich eines Industrieunternehmens. Sie bereitet die Maschinen für den nächsten Produktionsdurchlauf vor. Zu ihren Aufgaben gehört es, die Filteranlage für die Abluft einzuschalten, sobald die Maschine gestartet wird.Sie nimmt sich fest vor, daran zu denken, die Filteranlage einzuschalten, und verlässt sich dabei auf ihr Gedächtnis.Kurz bevor sie die Produktion starten möchte, spricht ein Kollege sie an und bittet sie dringend um Unterstützung bei einer anderen Aufgabe. Anna hilft ihm und ist eine Weile abgelenkt. Als sie später zur Maschine zurückkehrt, übersieht sie ihren Hinweiszettel und startet sie die Produktion, ohne noch an die Filteranlage zu denken.Der Fehler wird jedoch nach kurzer Zeit bemerkt und korrigiert. Es gelangt nur eine geringe Menge Feinstaub in die Luft, ohne gesundheitliche Schäden für Personen. Dennoch vermerkt das Umweltamt einen geringfügigen Verstoß.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","924","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","52","2.1.0","67796","","","28","Umweltschutz","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","709","50","html-slider-response","53","2.1.0","68508","","","28","Umweltschutz","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Sophie P. verbringt einen Samstagvormittag in ihrem Schrebergarten. Sie möchte die Pflanzen vor Schädlingen schützen und verwendet dafür ein handelsübliches Pestizid.Sie nimmt sich fest vor, die Flasche nach der Arbeit sicher zu verschließen, und vertraut darauf, dass sie daran denken wird.Während sie die Pflanzen sprüht, klingelt ihr Handy. Sophie telefoniert längere Zeit und ist im Gespräch vertieft, sodass sie das Verschließen der Pestizidflasche vergisst. Nachdem sie die Gartenarbeit beendet hat, verlässt sie den Schrebergarten.Über Nacht wirft eine Katze die Pestizidflasche um und dadurch gelangen größere Mengen des Pestizids auf den Boden und in angrenzende Beete. Ein benachbartes Kaninchengehege wird kontaminiert, mehrere Tiere erkranken schwer. Außerdem spielt ein Kind in der Nähe, kommt mit dem Pestizid in Kontakt und muss medizinisch behandelt werden. Das Umweltamt wird eingeschaltet.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1131","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","54","2.1.0","69640","","","1","Gesundheitsversorgung/Pflege","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","940","50","html-slider-response","55","2.1.0","70582","","","1","Gesundheitsversorgung/Pflege","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Dr. Martin W. ist Hausarzt in einer mittelgroßen Praxis. Sein Freund Tobias C. ruft an und bittet ihn, ihn in der kommenden Woche kurz zu untersuchen. Martin sagt zu: „Komm einfach vorbei, wenn du Zeit findest.“ Tobias erinnert ihn noch: „Aber denk bitte dran, dass ich auf Amoxicillin allergisch bin.“Martin öffnet Tobias’ elektronische Patientenakte und vermerkt: „Achtung: Allergie gegen Amoxicillin!“ Zusätzlich legt er einen Haftzettel auf seinen Schreibtisch, um sich beim nächsten Besuch daran zu erinnern.Einige Tage später kommt Tobias unangekündigt vorbei, während Martin gerade im Stress ist.Er öffnet die Akte, aber übersieht die Notiz im Eilschritt. Auch der Haftzettel ist unter anderen Papieren verschwunden.Nach kurzer Untersuchung diagnostiziert er eine bakterielle Bronchitis und verschreibt ein Standardantibiotikum – Amoxicillin.Kurze Zeit später erleidet Tobias eine schwere allergische Reaktion und muss mit einem anaphylaktischen Schock ins Krankenhaus gebracht werden. Er überlebt, aber nur knapp.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1846","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","56","2.1.0","72430","","","29","Umweltschutz","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","795","50","html-slider-response","57","2.1.0","73227","","","29","Umweltschutz","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Markus F. arbeitet an einem Donnerstagmittag im Chemielabor seines Unternehmens. Er muss mehrere Chemikalienreste nach Abschluss von Experimenten korrekt entsorgen.Um sicherzugehen, dass er die Chemikalien ordnungsgemäß zur Sammelstelle bringt, klebt er ein Post-it direkt auf die Chemikalienflasche mit dem Hinweis: „Chemikalienreste unbedingt nach Gebrauch zur Sammelstelle bringen!“Während er die Proben bearbeitet, kommt ein Kollege und bittet ihn um kurzfristige Hilfe bei einem anderen Experiment. Markus hilft, ist längere Zeit beschäftigt und vergisst dadurch, die Chemikalienreste wie geplant zur Sammelstelle zu bringen.Über Nacht gelangen die Chemikalien auf den Boden und in das Abwassersystem. Mehrere Laborgeräte werden beschädigt, Reinigungsmitarbeiter erleiden gesundheitliche Beschwerden, und das Unternehmen muss das Umweltamt informieren.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","1228","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","58","2.1.0","74457","","","17","Arbeits- und Betriebssicherheit","no","high","no_high","likert_5","[0,1,2,3,4]","",""
"","1524","50","html-slider-response","59","2.1.0","75984","","","17","Arbeits- und Betriebssicherheit","no","high","no_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Reinigungskraft Lars B. arbeitet in einer Logistikhalle und soll zum Schichtbeginn den Hauptdurchgang reinigen. Er räumt zunächst lose Verpackungsreste beiseite, bevor er mit dem Nasswischen beginnen kann. Das Warnschild wird normalerweise erst aufgestellt, wenn der Nasswischvorgang tatsächlich beginnt. Während dieser Vorbereitung spricht ihn ein Kollege an und bittet ihn um kurze Hilfe beim Öffnen eines Rolltors, da dessen Mechanismus klemmt.Lars nimmt sich vor, sobald er zum Durchgang zurückkehrt und mit dem Nasswischen beginnt, das Warnschild an der üblichen Stelle zu platzierenNach der kurzen Hilfeleistung kehrt er in den Bereich zurück. Er sieht eine ankommende Warenlieferung und konzentriert sich kurz auf die veränderte Hallensituation.beginnt zu wischen, ohne das Schild zu platzieren.Ein Mitarbeiter betritt die Fläche, rutscht nach hinten weg und stößt ungedämpft mit dem Kopf auf dem Boden auf. Er muss wegen einer Gehirnerschütterung ins Krankenhaus und ist zwei Wochen arbeitsunfähig.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","2459","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","60","2.1.0","78445","","","21","Verkehr & öffentliche Mobilität","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","3265","50","html-slider-response","61","2.1.0","81714","","","21","Verkehr & öffentliche Mobilität","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Die 19-jährige Marta V. holt ihr Auto nach einer Inspektion aus der Werkstatt ab. Ihr Vater hatte ihr vorab erklärt, dass bei solchen Inspektionen häufig sämtliche Fahrzeugeinstellungen auf Werkseinstellungen zurückgesetzt werden, darunter auch die Lichtsteuerung, die sonst automatisch aktiviert wird.Um nicht zu vergessen, die Lichter nach dem Werkstattbesuch wieder auf Automatik zu stellen, richtet Nele auf ihrem Handy einen zeitnahen Reminder ein. Als sie einsteigt, hat sie ihr Handy in ihrer Tasche und bemerkt nicht das Vibrieren. Marta vergisst ihren Vorsatz und fährt mit der Werkeinstellung los.In der beginnenden Dämmerung fällt ihr nicht auf, dass sie ohne Scheinwerfer fährt. Kurz daraufführt sie eine Vollbremsung durch,, weil ein Reh vor ihr unerwartet die Straße überquert.führt sie eine Vollbremsung durch,</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
"","3651","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","survey-likert","62","2.1.0","85367","","","24","Verkehr & öffentliche Mobilität","yes","high","yes_high","likert_5","[0,1,2,3,4]","",""
"","3982","50","html-slider-response","63","2.1.0","89353","","","24","Verkehr & öffentliche Mobilität","yes","high","yes_high","negligence_slider","","
    <div style=""max-width: 900px; margin: 0 auto; text-align: left; line-height: 1.55;"">
      <p>Gabriela K. fährt am frühen Abend auf einer Landstraße, als ihr Fahrzeug plötzlich ruckelt und an Leistung verliert. Sie kann das Auto kontrolliert an den rechten Fahrbahnrand lenken, jedoch nur teilweise auf den schmalen Seitenstreifen. Der Warnblinker ist eingeschaltet. Garbriela weiß, dass sie in dieser Situation zusätzlich ein Warndreieck aufstellen muss, um den nachfolgenden Verkehr rechtzeitig zu warnen.Da sie zunächst den Pannendienst informieren möchte, nimmt sie das zusammengefaltete Warndreieck bereits aus dem Handschuhfach und legt es gut sichtbar auf den Beifahrersitz. Während des Telefonats holt sie bereits die Fahrzeugpapiere heraus und legt diese ebenfalls auf den Beifahrersitz, sodass das Warndreieck verdeckt wird.Nach dem Gespräch bleibt Gabriela im Fahrzeug sitzen und denkt nicht mehr daran, das Warndreieck aufzustellen.Ein nachfolgender Fahrer erkennt das Hindernis zu spät, weicht abrupt aus und gerät ins Schleudern. Das Fahrzeug kommt von der Fahrbahn ab und prallt gegen einen Leitpfosten. Durch den aufgehenden Airbag bricht er sich die Nase und erleidet eine schwere Gehirnerschütterung.</p>
    </div>
  
  <p><strong>Bitte beurteilen Sie in einem Gesamturteil zu welchem Grad die Person fahrlässig gehandelt hat:</strong></p>
  <p>0 (gar nicht fahrlässig) bis 100 (sehr fahrlässig)</p>
","50"
